id,Predicted
0,6
1,3
2,1
3,3
4,2
5,2
6,4
7,2
8,0
9,0
10,1
11,1
12,2
13,5
14,4
15,6
16,6
17,4
18,6
19,0
20,1
21,0
22,5
23,4
24,5
25,2
26,7
27,3
28,1
29,6
30,0
31,4
32,1
33,6
34,3
35,7
36,0
37,6
38,0
39,5
40,0
41,0
42,6
43,0
44,5
45,1
46,2
47,1
48,7
49,2
50,1
51,3
52,0
53,7
54,5
55,7
56,2
57,7
58,1
59,3
60,6
61,6
62,1
63,0
64,4
65,3
66,4
67,0
68,4
69,6
70,2
71,3
72,2
73,1
74,1
75,4
76,3
77,4
78,6
79,6
80,0
81,6
82,1
83,4
84,2
85,4
86,2
87,4
88,4
89,5
90,5
91,6
92,6
93,3
94,1
95,6
96,6
97,3
98,0
99,3
100,1
101,6
102,1
103,5
104,7
105,4
106,2
107,6
108,1
109,6
110,3
111,1
112,1
113,5
114,7
115,3
116,6
117,5
118,3
119,7
120,7
121,0
122,7
123,3
124,5
125,2
126,4
127,7
128,6
129,7
130,1
131,2
132,5
133,5
134,7
135,3
136,1
137,0
138,7
139,6
140,3
141,3
142,2
143,3
144,4
145,0
146,0
147,4
148,1
149,0
150,5
151,7
152,7
153,4
154,6
155,3
156,1
157,3
158,3
159,0
160,1
161,5
162,2
163,0
164,0
165,5
166,0
167,7
168,4
169,6
170,5
171,1
172,1
173,0
174,5
175,4
176,4
177,7
178,0
179,4
180,1
181,7
182,4
183,5
184,7
185,3
186,5
187,2
188,7
189,6
190,7
191,0
192,2
193,1
194,3
195,2
196,2
197,3
198,2
199,1
200,5
201,7
202,7
203,3
204,3
205,5
206,4
207,4
208,1
209,3
210,1
211,3
212,2
213,4
214,5
215,3
216,7
217,1
218,7
219,7
220,2
221,7
222,4
223,7
224,0
225,3
226,3
227,1
228,6
229,7
230,0
231,1
232,0
233,3
234,4
235,4
236,5
237,4
238,3
239,3
240,7
241,2
242,7
243,7
244,1
245,3
246,6
247,3
248,3
249,0
250,1
251,7
252,1
253,4
254,0
255,7
