id,Predicted
0,1
1,0
2,1
3,1
4,0
5,0
6,0
7,1
8,0
9,1
10,0
11,1
12,1
13,0
14,1
15,1
16,0
17,1
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,1
31,0
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,1
45,1
46,0
47,1
48,0
49,1
50,1
51,0
52,0
53,0
54,1
55,1
56,0
57,1
58,0
59,0
60,1
61,0
62,1
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,0
80,1
81,1
82,0
83,1
84,0
85,1
86,0
87,0
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,1
102,0
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,1
111,1
112,0
113,1
114,1
115,0
116,0
117,1
118,1
119,0
120,0
121,1
122,0
123,1
124,0
125,1
126,1
127,1
128,1
129,0
130,1
131,1
132,0
133,0
134,1
135,1
136,1
137,1
138,0
139,0
140,1
141,0
142,1
143,0
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,0
157,1
158,0
159,0
160,1
161,0
162,1
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,0
171,0
172,1
173,1
174,1
175,0
176,0
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,1
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,1
200,1
201,0
202,1
203,1
204,1
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,1
242,1
243,0
244,0
245,1
246,0
247,1
248,0
249,1
250,1
251,0
252,1
253,1
254,1
255,0
256,0
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,1
265,1
266,1
267,0
268,1
269,1
270,0
271,1
272,0
273,0
274,1
275,1
276,0
277,0
278,1
279,1
280,1
281,0
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,1
293,1
294,1
295,0
296,0
297,0
298,1
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,1
307,1
308,0
309,0
310,1
311,1
312,1
313,0
314,0
315,0
316,1
317,0
318,1
319,1
320,0
321,0
322,1
323,0
324,0
325,0
326,0
327,1
328,1
329,0
330,1
331,1
332,1
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,1
346,0
347,1
348,1
349,1
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,0
362,0
363,0
364,0
365,1
366,1
367,0
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,0
382,1
383,1
384,0
385,1
386,1
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,0
395,1
396,0
397,1
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,1
412,0
413,1
414,1
415,0
416,1
417,0
418,0
419,0
420,1
421,1
422,1
423,0
424,1
425,0
426,0
427,0
428,1
429,1
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,1
439,0
440,1
441,1
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,1
452,0
453,0
454,1
455,0
456,0
457,0
458,0
459,0
460,1
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,1
469,0
470,0
471,0
472,0
473,0
474,0
475,1
476,1
477,0
478,0
479,0
480,0
481,1
482,0
483,0
484,1
485,1
486,1
487,1
488,0
489,0
490,1
491,0
492,1
493,0
494,0
495,0
496,1
497,1
498,0
499,0
500,0
501,1
502,1
503,0
504,1
505,0
506,1
507,1
508,1
509,0
510,0
511,0
512,0
513,1
514,1
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,1
523,1
524,0
525,1
526,1
527,1
528,0
529,1
530,1
531,0
532,0
533,0
534,1
535,1
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,1
544,0
545,0
546,1
547,0
548,0
549,1
550,0
551,0
552,0
553,1
554,1
555,1
556,1
557,1
558,0
559,1
560,1
561,0
562,1
563,0
564,0
565,0
566,1
567,0
568,0
569,0
570,0
571,0
572,0
573,1
574,1
575,1
576,1
577,1
578,0
579,1
580,0
581,1
582,0
583,0
584,1
585,1
586,1
587,1
588,0
589,1
590,0
591,0
592,0
593,0
594,1
595,1
596,0
597,1
598,0
599,1
600,0
601,1
602,0
603,1
604,1
605,1
606,0
607,1
608,1
609,1
610,0
611,0
612,1
613,0
614,1
615,0
616,1
617,1
618,0
619,1
620,1
621,0
622,1
623,1
624,1
625,1
626,1
627,1
628,0
629,0
630,0
631,0
632,0
633,1
634,1
635,0
636,1
637,1
638,0
639,1
640,1
641,0
642,0
643,1
644,0
645,1
646,1
647,1
648,0
649,1
650,0
651,1
652,1
653,0
654,0
655,1
656,1
657,1
658,0
659,0
660,0
661,0
662,1
663,1
664,0
665,0
666,1
667,1
668,0
669,0
670,0
671,1
672,1
673,1
674,0
675,0
676,1
677,0
678,1
679,0
680,0
681,0
682,0
683,1
684,0
685,0
686,0
687,0
688,0
689,0
690,1
691,0
692,1
693,0
694,1
695,0
696,1
697,0
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,0
706,1
707,0
708,0
709,0
710,1
711,0
712,0
713,1
714,1
715,0
716,1
717,0
718,1
719,1
720,0
721,0
722,1
723,1
724,0
725,0
726,0
727,1
728,0
729,1
730,0
731,1
732,0
733,0
734,0
735,0
736,1
737,0
738,0
739,0
740,1
741,0
742,1
743,1
744,0
745,0
746,0
747,1
748,1
749,0
750,0
751,0
752,0
753,1
754,0
755,1
756,1
757,0
758,0
759,1
760,0
761,1
762,0
763,1
764,0
765,1
766,1
767,0
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,0
778,1
779,1
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,1
788,1
789,1
790,1
791,0
792,0
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,0
801,0
802,1
803,1
804,1
805,0
806,1
807,1
808,0
809,0
810,1
811,1
812,0
813,1
814,1
815,1
816,0
817,1
818,1
819,1
820,0
821,1
822,0
823,1
824,1
825,1
826,1
827,1
828,0
829,1
830,0
831,0
832,1
833,0
834,0
835,0
836,0
837,1
838,1
839,0
840,0
841,0
842,0
843,1
844,0
845,1
846,0
847,0
848,0
849,0
850,1
851,1
852,0
853,1
854,1
855,1
856,0
857,1
858,1
859,1
860,0
861,0
862,0
863,0
864,0
865,0
866,1
867,0
868,1
869,1
870,1
871,0
872,1
873,1
874,1
875,1
876,0
877,1
878,0
879,0
880,1
881,0
882,0
883,1
884,0
885,0
886,0
887,1
888,0
889,1
890,0
891,1
892,0
893,1
894,1
895,1
896,0
897,0
898,1
899,0
900,0
901,1
902,0
903,1
904,0
905,1
906,1
907,0
908,0
909,0
910,0
911,1
912,1
913,0
914,0
915,1
916,0
917,0
918,0
919,1
920,1
921,0
922,0
923,0
924,1
925,0
926,1
927,0
928,0
929,1
930,0
931,1
932,0
933,1
934,1
935,0
936,0
937,0
938,0
939,0
940,1
941,1
942,1
943,0
944,0
945,1
946,0
947,1
948,0
949,1
950,0
951,1
952,1
953,0
954,1
955,0
956,0
957,1
958,0
959,0
960,1
961,1
962,1
963,0
964,0
965,0
966,0
967,1
968,0
969,0
970,0
971,0
972,1
973,1
974,0
975,0
976,1
977,1
978,1
979,1
980,0
981,1
982,1
983,0
984,0
985,0
986,1
987,0
988,1
989,0
990,1
991,0
992,1
993,0
994,0
995,1
996,0
997,0
998,0
999,1
1000,1
1001,1
1002,0
1003,0
1004,1
1005,1
1006,1
1007,0
1008,0
1009,0
1010,1
1011,0
1012,1
1013,0
1014,1
1015,1
1016,0
1017,0
1018,0
1019,0
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,0
1028,0
1029,0
1030,1
1031,0
1032,1
1033,0
1034,0
1035,0
1036,1
1037,1
1038,1
1039,0
1040,0
1041,1
1042,0
1043,1
1044,0
1045,1
1046,1
1047,1
1048,0
1049,1
1050,1
1051,1
1052,0
1053,1
1054,1
1055,0
1056,1
1057,0
1058,1
1059,1
1060,0
1061,0
1062,0
1063,0
1064,0
1065,1
1066,1
1067,0
1068,0
1069,1
1070,1
1071,0
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,0
1080,0
1081,1
1082,0
1083,0
1084,1
1085,1
1086,1
1087,0
1088,0
1089,1
1090,0
1091,0
1092,1
1093,0
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,0
1101,0
1102,1
1103,1
1104,1
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,1
1113,0
1114,1
1115,0
1116,0
1117,0
1118,1
1119,0
1120,0
1121,1
1122,0
1123,1
1124,0
1125,1
1126,1
1127,1
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,1
1135,0
1136,0
1137,1
1138,0
1139,0
1140,0
1141,1
1142,0
1143,1
1144,1
1145,0
1146,0
1147,1
1148,1
1149,1
1150,1
1151,0
1152,0
1153,0
1154,1
1155,1
1156,0
1157,1
1158,1
1159,1
1160,0
1161,0
1162,0
1163,1
1164,1
1165,1
1166,1
1167,1
1168,0
1169,1
1170,0
1171,1
1172,1
1173,0
1174,1
1175,1
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,1
1185,1
1186,0
1187,0
1188,0
1189,0
1190,0
1191,1
1192,0
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,0
1200,1
1201,0
1202,0
1203,0
1204,1
1205,0
1206,1
1207,0
1208,0
1209,1
1210,1
1211,0
1212,0
1213,0
1214,1
1215,0
1216,0
1217,1
1218,0
1219,0
1220,0
1221,0
1222,0
1223,1
1224,0
1225,1
1226,1
1227,0
1228,0
1229,1
