id,Predicted
0,0
1,0
2,0
3,0
4,1
5,0
6,0
7,1
8,1
9,0
10,0
11,1
12,0
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,1
21,1
22,1
23,1
24,0
25,0
26,1
27,1
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,0
42,0
43,0
44,0
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,0
60,0
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,0
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,0
78,1
79,1
80,0
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,0
89,1
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,1
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,1
114,0
115,0
116,1
117,0
118,0
119,0
120,0
121,0
122,1
123,0
124,1
125,1
126,1
127,0
128,0
129,1
130,0
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,0
141,0
142,1
143,0
144,0
145,1
146,1
147,0
148,0
149,1
150,0
151,1
152,1
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,0
167,0
168,1
169,1
170,1
171,0
172,0
173,0
174,0
175,0
176,1
177,0
178,1
179,1
180,0
181,1
182,1
183,0
184,1
185,0
186,1
187,0
188,1
189,0
190,1
191,1
192,1
193,0
194,0
195,1
196,1
197,1
198,0
199,0
200,1
201,1
202,1
203,0
204,0
205,1
206,1
207,1
208,1
209,0
210,1
211,0
212,0
213,1
214,0
215,1
216,0
217,1
218,1
219,0
220,1
221,0
222,1
223,0
224,1
225,0
226,0
227,1
228,0
229,0
230,0
231,1
232,0
233,1
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,0
243,1
244,1
245,1
246,0
247,1
248,1
249,0
250,1
251,0
252,0
253,0
254,0
255,1
256,0
257,1
258,0
259,1
260,0
261,0
262,0
263,0
264,0
265,1
266,1
267,0
268,1
269,0
270,0
271,1
272,0
273,1
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,1
283,0
284,0
285,1
286,1
287,0
288,0
289,1
290,1
291,0
292,1
293,0
294,0
295,1
296,0
297,0
298,1
299,1
300,0
301,0
302,1
303,1
304,0
305,0
306,0
307,0
308,1
309,0
310,1
311,0
312,1
313,1
314,0
315,1
316,1
317,1
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,0
330,1
331,0
332,1
333,0
334,0
335,0
336,1
337,1
338,0
339,1
340,0
341,1
342,0
343,1
344,1
345,1
346,0
347,0
348,1
349,0
350,0
351,1
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,0
365,0
366,1
367,0
368,1
369,1
370,0
371,0
372,1
373,1
374,1
375,0
376,1
377,1
378,0
379,1
380,1
381,1
382,0
383,1
384,0
385,0
386,1
387,1
388,0
389,1
390,0
391,1
392,0
393,0
394,0
395,0
396,1
397,1
398,0
399,1
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,1
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,1
418,0
419,0
420,0
421,0
422,1
423,1
424,0
425,1
426,0
427,1
428,1
429,1
430,0
431,1
432,0
433,0
434,1
435,1
436,0
437,0
438,0
439,1
440,1
441,0
442,1
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,1
451,0
452,0
453,1
454,0
455,1
456,0
457,0
458,1
459,0
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,1
468,0
469,1
470,0
471,0
472,1
473,0
474,0
475,1
476,0
477,1
478,0
479,0
480,1
481,0
482,1
483,0
484,0
485,0
486,1
487,1
488,1
489,1
490,0
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,0
499,0
500,1
501,0
502,0
503,1
504,1
505,0
506,1
507,0
508,1
509,1
510,1
511,1
512,0
513,0
514,1
515,0
516,0
517,0
518,1
519,1
520,0
521,0
522,1
523,0
524,1
525,0
526,1
527,1
528,1
529,0
530,0
531,0
